source,target
(Laughter) This was a rented Ford Taurus.,(Cười) Đó là một chiếc Ford Taurus cho thuê.
"(Laughter) It was dinnertime, and we started looking for a place to eat.","(Cười) Lúc đó đã đến giờ ăn tối, Và chúng tôi bắt đầu tìm nơi để ăn."
We were on I-40.,Chúng tôi đang ở quốc lộ I-40.
"We got to Exit 238, Lebanon, Tennessee.","Chúng tôi rẽ ngõ Exit 238, Lebanon, Tennessee."
"We got off the exit, we found a Shoney's restaurant.","Ra khỏi ngõ rẽ, chúng tôi tìm thấy nhà hàng Shoney's."
"Low-cost family restaurant chain, for those of you who don't know it.","Một hệ thống nhà hàng gia đình giá rẻ, thông tin cho những ai không biết."
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.","Chúng tôi đi vào, ngồi vào bàn, người phục vụ bước đến, làm một cử chỉ cực kỳ sốc với Tipper."
"(Laughter) She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.","(Cười) Cô ấy lấy phiếu thứ tự của chúng tôi, rồi đi đến cặp đôi ngồi ở gian kế, cô ấy hạ giọng nhỏ cực kỳ, tôi đã phải cố căng tai ra để nghe cô ấy nói gì."
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""","Và cô ấy nói ""Dạ vâng, đó là cựu Tổng thống Al Gore và vợ ông, Tipper."""
"And the man said, ""He's come down a long way, hasn't he?""","Và người đàn ông trả lời, ""Ông ấy đã phải đi một chặng đường dài, nhỉ?"""
(Laughter) (Applause) There's been kind of a series of epiphanies.,(Cười) (Vỗ tay) Nó giống như một loạt sự kiện khai sáng vậy.
"(Laughter) The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.","(Cười) Ngay ngày hôm sau, tiếp tục câu chuyện có thật ấy. Tôi lên chiếc G-V, bay đến Châu Phi để diễn thuyết tại Nigeria, tại thành phố Lagos, về chủ đề năng lượng."
And I began the speech by telling them the story of what had just happened the day before in Nashville.,Khi tôi bắt đầu bài diễn thuyết bằng việc kể cho họ câu chuyện đã xảy ra một ngày trước ở Nashville.
"And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed.","Tôi kể nó giống hệt cách tôi vừa kể cho các bạn nghe: Tipper và tôi đang tự lái xe, Shoney's, chuỗi cửa hàng ăn gia đình giá rẻ, điều người đàn ông nói -- họ cười."
"I gave my speech, then went back out to the airport to fly back home.","Tôi kết thúc bài diễn văn, quay lại sân bay và bay về nhà."
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.","Tôi ngủ gục trên máy bay cho đến tận nửa đêm, chúng tôi hạ cánh. tại Azores Islands để tiếp nhiên liệu."
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.","Tôi thức dậy, họ mở cửa, tôi bước ra để hít chút không khí và tôi nhìn thấy một người đàn ông đang chạy dọc đường băng."
"And he was waving a piece of paper, and he was yelling, ""Call Washington! Call Washington!""","Anh ta vẫy một tờ giấy, và la lên, ""Gọi cho Wahington! Gọi cho Washington!"""
"And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?","Và tôi tự nghĩ, vào giữa đêm, giữa biển Atlantic, Washington có thể bị cái quái gì được cơ chứ?"
Then I remembered it could be a bunch of things.,"Sau đó tôi nghĩ lại, nó có thể bị cả đống thứ."
"(Laughter) But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.","(Cười) Nhưng hóa ra, điều làm nhân viên của tôi cực kỳ buồn phiền là vì một trong những hãng thông tấn ở Nigeria đã viết một bài viết về bài diễn thuyết của tôi và nó đã được in ra khắp các thành phố ở Hoa Kỳ."
"It was printed in Monterey, I checked.","Cả ở Monterey, tôi đã kiểm tra."
"(Laughter) And the story began, ""Former Vice President Al Gore announced in Nigeria yesterday,"" quote: 'My wife Tipper and I have opened a low-cost family restaurant'"" -- (Laughter) ""'named Shoney's, and we are running it ourselves.'"" (Laughter) Before I could get back to U.S. soil, David Letterman and Jay Leno had already started in on -- one of them had me in a big white chef's hat, Tipper was saying, ""One more burger with fries!""","(Cười) Câu chuyện bắt đầu, ""Cựu Phó tổng thống Al Gore đã phát biểu ngày hôm qua ở Nigeria, "" trích dẫn: 'Vợ tôi Tipper và tôi đã mở một chuỗi nhà hàng gia đình giá rẻ'""-- (Cười) ""'tên là Shoney's, và chúng tôi đã tự tay điều hành nó.'"" (Cười) Trước khi chúng tôi có thể quay lại đất Mỹ, David Letterman và Jay Leno đã nhanh chóng ra tay -- một trong họ đã có hình của tôi đội cái mũ đầu bếp trắng bự chảng, Tipper thì đang nói, ""Thêm một burger và khoai tây chiên!"""
"(Laughter) Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, ""Congratulations on the new restaurant, Al!""","(Cười) Ba ngày sau, Tôi nhận được một lá thư tay dài và đầy thiện ý từ một người bạn và là đồng nghiệp, Bill Clinton, viết rằng, ""Chúc mừng nhà hàng mới, Al!"""
(Laughter) We like to celebrate each other's successes in life.,(Cười) Chúng tôi thích chúc mừng thành công của nhau trong cuộc sống.
(Laughter) I was going to talk about information ecology.,(Cười) Tôi đã định nói đến hệ sinh thái thông tin.
"But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time.","Nhưng tôi đã nghĩ rằng, từ khi tôi lên kế hoạch dài hạn cho việc quay lại TED, thì có thể tôi sẽ nói nó vào một dịp khác."
(Applause) Chris Anderson: It's a deal!,(Vỗ tay) Chris Anderson: Thỏa thuận!
(Applause) Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?,(Vỗ tay) Al Gore: Tôi muốn tập trung vào điều mà nhiều người trong các bạn đã phát biểu rõ hơn là: Bạn có thể làm gì với cuộc khủng hoảng khí hậu?
"I want to start with a couple of -- I'm going to show some new images, and I'm going to recapitulate just four or five.","Tôi muốn bắt đầu với một vài thứ -- Tôi sẽ cho hiển thị vài hình ảnh mới, và tôi định tóm tắt nó với chỉ bốn hay năm hình ảnh."
"Now, the slide show.","Nào, slide show."
I update the slide show every time I give it.,"Tôi hiển thị slide show này mỗi khi tôi đề cập đến điều này,"
"I add new images, because I learn more about it every time I give it.","Tôi thêm vài tấm hình mới, bởi vì tôi học được thêm về nó mỗi khi tôi trình bày."
"It's like beach-combing, you know?",Nó giống như đi lượm sò trên biển.
"Every time the tide comes in and out, you find some more shells.","Mỗi khi sóng vỗ ra vào, bạn lại tìm thêm được những vỏ sò mới."
"Just in the last two days, we got the new temperature records in January.","Chỉ trong hai ngày qua, chúng ta đã có những kỷ lục nhiệt độ mới trong tháng Một."
This is just for the United States of America.,Đó chỉ là ở Mỹ.
Historical average for Januarys is 31 degrees; last month was 39.5 degrees.,"Lịch sử nhiệt độ trung bình trong tháng Giêng là 31°C; tháng vừa rồi là 39,5°C."
"Now, I know that you wanted some more bad news about the environment -- I'm kidding.","Giờ, tôi biết các bạn muốn nghe thêm tin xấu về môi trường -- Tôi chỉ đùa thôi."
"But these are the recapitulation slides, and then I'm going to go into new material about what you can do.","Nhưng đây là những hình ảnh tóm tắt, sau đó tôi sẽ đi vào chi tiết mới về những điều bạn có thể làm."
But I wanted to elaborate on a couple of these.,Tôi muốn làm rõ hơn một vài điều.
"First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.","Đầu tiên hết, theo kế hoạch, đây sẽ là điểm đến với sự đóng góp của Mỹ làm ấm lên toàn cầu. qua các hoạt động kinh doanh."
Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.,Hiệu quả trong việc sử dụng điện năng và các ngành năng lượng khác là những thứ dễ thực hiện.
Efficiency and conservation -- it's not a cost; it's a profit.,"Hiệu quả và bảo tồn -- không phải là chi phí, mà là lợi nhuận."
The sign is wrong.,Dấu hiệu đó là sai.
It's not negative; it's positive.,Nó không tiêu cực; nó tích cực.
These are investments that pay for themselves.,Đây là những món đầu tư tự chi trả được.
But they are also very effective in deflecting our path.,Nhưng chúng cũng rất hiệu quả trong việc làm trệch hướng đường đi.
"Cars and trucks -- I talked about that in the slideshow, but I want you to put it in perspective.","Xe ô tô và xe tải - tôi đã nói về chúng trong slideshow, nhưng tôi muốn các bạn đặt nó trong một bối cảnh."
"It's an easy, visible target of concern -- and it should be -- but there is more global warming pollution that comes from buildings than from cars and trucks.","Đó là một mục tiêu quan tâm dễ dàng, trực quan -- và nó nên như thế -- nhưng sự ô nhiễm do các tòa nhà thải ra nhiều hơn từ xe hơi và xe tải."
"Cars and trucks are very significant, and we have the lowest standards in the world.","Xe hơi và xe tải rất quan trọng, và chúng ta có tiêu chuẩn thấp nhất trên thế giới."
And so we should address that. But it's part of the puzzle.,Vậy nên chúng ta nên giải quyết chúng. Đó là một phần của câu đố.
Other transportation efficiency is as important as cars and trucks.,Hiệu quả trong vận chuyển cũng quan trọng như phương tiện di chuyển.
Renewables at the current levels of technological efficiency can make this much difference.,Năng lượng tái sinh ở mức hiệu quả công nghệ hiện tại có thể tạo ra nhiều khác biệt.
"And with what Vinod, and John Doerr and others, many of you here -- there are a lot of people directly involved in this -- this wedge is going to grow much more rapidly than the current projection shows it.","Vinod, John Doerr, và những người khác, nhiều trong số các bạn ở đây -- có rất nhiều người trực tiếp liên quan -- làm chiếc nêm này lớn nhanh hơn nhiều so với những gì được trình bày ở đây."
Carbon Capture and Sequestration -- that's what CCS stands for -- is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.,"Giữ và cô lập Carbon (Carbon Capture and Sequestration) -- viết tắt là CCS -- có vẻ như đang trở thành một ứng dụng cốt lõi, cho phép chúng ta tiếp tục sử dụng năng lượng hóa thạch theo hướng an toàn."
Not quite there yet.,Thật ra vẫn chưa đến mức đó.
"OK. Now, what can you do?","Ok. Vậy bây giờ, điều bạn có thể làm là gì?"
Reduce emissions in your home.,Giảm thiểu khí thải trong nhà.
Most of these expenditures are also profitable.,Hầu hết các phí tổn đều có thể tạo ra lợi nhuận.
"Insulation, better design.","Cách nhiệt, thiết kế tốt hơn."
Buy green electricity where you can.,Mua các thiết bị điện năng lượng xanh khi có thể.
I mentioned automobiles -- buy a hybrid.,Tôi đã đề cập đến xe hơi -- hãy mua loại hybird.
Use light rail.,sử dụng tàu điện đô thị.
Figure out some of the other options that are much better.,Tìm ra những lựa chọn khác tốt hơn.
It's important.,Đây là điều quan trọng.
Be a green consumer.,Trở thành một người tiêu dùng xanh.
"You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis.","Bạn có sự lựa chọn với tất cả những gì bạn mua, giữa những thứ gây ảnh hưởng tồi tệ, và những thứ ít gây ảnh hưởng xấu hơn lên khủng hoảng khí hậu toàn cầu."
Consider this: Make a decision to live a carbon-neutral life.,"Hãy cân nhắc điều này: Hãy sống một cuộc sống ""trung hòa carbon."""
"Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.",Một số trong các bạn rất giỏi trong việc đặt tên. Tôi rất muốn nhận được những lời khuyên và giúp đỡ về cách nói điều này thế nào để có thể kết nối hầu hết mọi người.
It is easier than you think.,Nó dễ dàng hơn bạn nghĩ.
It really is.,Thật sự là thế.
"A lot of us in here have made that decision, and it is really pretty easy.","Nhiều người trong chúng ta ở đây đã quyết định điều đó rồi, và nó thật sự khá dễ dàng."
"It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced.",Nó có nghĩa là giảm thiểu việc thải khí CO2 trong hầu hết các quyết định của bạn. và sau đó là mua và bù vào phần mà bạn không thể giảm hoàn toàn được.
And what it means is elaborated at climatecrisis.net.,Những điều này được trình bày chi tiết trên trang chimatecrisis.net.
There is a carbon calculator.,Đây là một máy tính đo carbon.
"Participant Productions convened -- with my active involvement -- the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.","Nhóm Participant Productions đã họp lại -- cùng sự tham gia trực tiếp của tôi -- những lập trình viên hàng đầu thế giới, trong lĩnh vực tính toán carbon đầy phức tạp, để xây dựng một máy tính đo carbon thân thiện với người dùng."
"You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.","Bạn có thể tính toán chính xác lượng CO2 bạn thải ra, và sau đó nhận được các giải pháp để giảm thiểu."
"And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets.","Và khi được tung ra thị trường vào tháng Năm, nó sẽ được nâng cấp lên phiên bản 2.0, cho phép chúng ta click chọn việc mua bán những phần dư thừa ấy."
"Next, consider making your business carbon-neutral.","Tiếp theo, cân nhắc đến việc kinh doanh mang tính trung hòa carbon."
"Again, some of us have done that, and it's not as hard as you think.","Một số đã thực hiện nó, và nó cũng không khó như các bạn nghĩ."
"Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community.","Kết hợp các giải pháp môi trường trong tất cả các chiến lược đổi mới, dù bạn hoạt động trong ngành công nghệ, giải trí, hay trong cộng đồng thiết kế và kiến trúc."
Invest sustainably.,Hãy đầu tư một cách bền vững.
Majora mentioned this.,Majora đã đề cập đến điều này.
"Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.","Nghe này, nếu chúng ta đầu tư tiền vào những người quản lý mà bạn trả tiền dựa trên hiệu quả làm công việc hàng năm, thì đừng bao giờ phàn nàn về những thông báo quản lý CEO theo quý."
"Over time, people do what you pay them to do.","Theo thời gian, họ sẽ làm việc theo những gì bạn trả công cho họ."
"And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.","Và nếu họ xem xét việc họ sẽ được trả bao nhiêu tiền dựa trên số vốn của bạn mà họ đã đầu tư, dựa trên những món hoàn trả ngắn hạn, bạn sẽ nhận được những quyết định ngắn hạn."
A lot more to be said about that.,Còn nhiều điều để nói về việc đó.
Become a catalyst of change.,Trở thành xúc tác cho sự thay đổi.
"Teach others, learn about it, talk about it.","Hãy dạy cho những người khác, hãy học hỏi nó, nói về nó."
"The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining.","Bộ phim này là một phiên bản làm thành phim của bản slideshow. Tôi đã chiếu vào đêm hôm kia, ngoại trừ nó có nhiều thứ thú vị hơn."
And it comes out in May.,Nó sẽ được trình chiếu vào tháng Năm.
Many of you here have the opportunity to ensure that a lot of people see it.,Các bạn ở đây có cơ hội để bảo đảm rằng có nhiều người sẽ xem nó.
Consider sending somebody to Nashville.,Hãy nghĩ đến việc gửi cho ai đó ở Nashville.
Pick well.,Chọn tốt đấy.
"And I am personally going to train people to give this slideshow -- re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean.","Và cá nhân tôi sẽ đào tạo cho những người trình chiếu slideshow này -- tái thích nghi, những câu chuyện cá nhân rõ ràng sẽ được thay thế bằng một cách tiếp cận khái quát hơn, và nó không chỉ là slide chiếu, mà là điều nó truyền đạt."
And it's how they link together.,Và cách chúng liên kết với nhau.
"And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, in communities all across the country, and we're going to update the slideshow for all of them every single week, to keep it right on the cutting edge.","Thế nên tôi sẽ cho thiết lập một khóa học vào mùa hè này cho một nhóm gồm những người được chọn từ các nhóm khác nhau để đưa nó đến với đại công chúng, với các cộng đồng trên khắp đất nước. và chúng ta sẽ cập nhật bản slidesow này cho tất cả họ vào mỗi tuần, để giúp họ lúc nào cũng có những thông tin mới nhất."
"Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way.","Tôi sẽ làm việc với Larry Lessig trong quá trình sản suất để đăng tải các công cụ và các điều luật về bản quyền hạn chế sử dụng, để giới trẻ có thể remix nó và sử dụng nó theo cách của riêng chúng."
(Applause) Where did anybody get the idea that you ought to stay arm's length from politics?,(Vỗ tay) Nơi nào mà ai cũng nghĩ rằng bạn nên giữ mình khỏi sự ảnh hưởng của chính trị?
"It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.","Điều đó không có nghĩa nếu bạn là Đảng viên Cộng hòa, thì tôi sẽ cố thuyết phục bạn theo Đảng Dân chủ."
We need Republicans as well.,Chúng tôi cũng cần họ nữa.
"This used to be a bipartisan issue, and I know that in this group it really is.","Đây đã từng là một vấn đề song phương, và tôi biết rằng nhóm cộng đồng này là như thế."
Become politically active.,Hãy là nhà hoạt động chính trị.
Make our democracy work the way it's supposed to work.,Hãy làm cho các công việc dân chủ có thể hoạt động theo cách của nó.
Support the idea of capping carbon dioxide emissions -- global warming pollution -- and trading it.,Hãy ủng hộ ý tưởng đóng khí thải CO2 -- sự ô nhiễm ấm lên toàn cầu -- và kinh doanh nó.
"Here's why: as long as the United States is out of the world system, it's not a closed system.","Đây là lý do tại sao: cho đến khi nước Mỹ vẫn còn nằm ngoài hệ thống thế giới, nó không phải là một hệ thống khép kín."
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors -- how many people here serve on the board of directors of a corporation?","Khi nó trở thành một hệ thống khép kín, với sự tham gia của Mỹ, thì mọi người đều là thành viên ban quản trị -- có bao nhiêu người ở đây nằm trong ban quản trị của một tổ chức nào đó?"
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided.","Khi nó trở nên khép kín, bạn sẽ có quyền hợp pháp để thúc ép CEO của mình tăng tối đa nguồn thu từ việc giảm thiểu và việc kinh doanh gây khí thải carbon có thể tránh được."
The market will work to solve this problem -- if we can accomplish this.,Thị trường sẽ giúp giải quyết vấn đề này -- nếu chúng ta có thể thực hiện nó.
Help with the mass persuasion campaign that will start this spring.,Hãy giúp chiến dịch vận động cộng đồng sẽ bắt đầu vào mùa xuân này.
We have to change the minds of the American people.,Chúng ta phải đổi cách suy nghĩ của người Mỹ.
"Because presently, the politicians do not have permission to do what needs to be done.","Bởi vì hiện nay, các nhà chính trị không có quyền để thực hiện điều cần phải làm."
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.","Và tại đất nước hiện đại này, vai trò của logic và lý lẽ không còn được cân nhắc giữa của cải và quyền lực theo cách nó từng."
"It's now repetition of short, hot-button, 30-second, 28-second television ads.","Giờ là các đoạn quảng cáo ngắn, nóng hổi, 30 giây, 28 giây lặp đi lặp lại."
We have to buy a lot of those ads.,Chúng ta phải mua rất nhiều các kiểu quảng cáo đó.
"Let's re-brand global warming, as many of you have suggested.","Hãy đặt lại tên cho hiện tượng ấm lên toàn cầu, như các bạn đã đề xuất."
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.","Tôi thích ""khủng hoảng khí hậu"" hơn ""sự sụp đổ của khí hậu,"" nhưng dù sao thì các bạn cũng giỏi điều đó hơn. Tôi cần các bạn giúp về chuyện đó."
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.","Một số người bảo thử thách mà chúng ta đang đối mặt, một nhà khoa học đã bảo tôi, là việc liệu sự kết hợp giữa một ngón tay cái để cầm và một tân vỏ não (neocortex) có phải là sự kết hợp khả thi."
(Laughter) That's really true.,(Cười) Điều đó rất đúng.
"I said the other night, and I'll repeat now: this is not a political issue.","Tôi đã trình bày điều này vào đêm trước, và giờ tôi sẽ lặp lại lần nữa: nó không phải là vấn đề chính trị."
"Again, the Republicans here -- this shouldn't be partisan.","Một lần nữa, với các Đảng viên Cộng hòa -- không nên xem nó là vấn đề đảng phái."
You have more influence than some of us who are Democrats do.,Bạn có nhiều ảnh hưởng hơn một số các Đảng viên Dân chủ.
This is an opportunity.,Đây là cơ hội.
"Not just this, but connected to the ideas that are here, to bring more coherence to them.","Không chỉ thế, nhưng còn kết nối các ý tưởng ở đây, và làm cho chúng gắn bó chặt chẽ hơn."
We are one.,Chúng ta là một.
"Thank you very much, I appreciate it.",Cảm ơn các bạn rất nhiều. Tôi rất cảm kích.
(Applause),(Vỗ tay)
"With all the legitimate concerns about AIDS and avian flu -- and we'll hear about that from the brilliant Dr. Brilliant later today -- I want to talk about the other pandemic, which is cardiovascular disease, diabetes, hypertension -- all of which are completely preventable for at least 95 percent of people just by changing diet and lifestyle.","Với các mối lo ngại chính đáng về đại dịch AIDS và cúm gia cầm -- và chúng ta sẽ được nghe tiến sĩ Thông Thái lỗi lạc nói về vấn đề này trong ngày hôm nay -- Tôi muốn nói về một đại dịch khác, đó là bệnh tim mạch, tiểu đường, cao huyết áp -- các bệnh này hoàn toàn có thể phòng chống đối với 95% dân số, chỉ bằng cách thay đổi khẩu phần ăn và lối sống."
"And what's happening is that there's a globalization of illness occurring, that people are starting to eat like us, and live like us, and die like us. And in one generation, for example, Asia's gone from having one of the lowest rates of heart disease and obesity and diabetes to one of the highest. And in Africa, cardiovascular disease equals the HIV and AIDS deaths in most countries.","Và hiện nay đang có một căn bệnh toàn cầu khi mọi người đang bắt đầu ăn, sống và chết như chúng ta. Trong vòng một thế hệ, ví dụ như, người châu Á đã đi từ tỷ lệ mắc bệnh béo phì, bệnh tim và tiểu đường thấp nhất đến tỷ lệ cao nhất. Và ở châu Phi, bệnh tim mạch gây con số tử vong ngang với dịch HIV/AIDS ở hầu hết các nước."
"So there's a critical window of opportunity we have to make an important difference that can affect the lives of literally millions of people, and practice preventive medicine on a global scale.","Thế nên chúng ta phải mở một cửa sổ cơ hội quan trọng để tạo sự khác biệt tác động đến cuộc sống của hàng triệu người, và áp dụng công tác phòng chống trên quy mô toàn cầu."
"Heart and blood vessel diseases still kill more people -- not only in this country, but also worldwide -- than everything else combined, and yet it's completely preventable for almost everybody.","Các bệnh về tim và mạch máu tiếp tục gây thêm nhiều tử vong -- không chỉ ở nước ta mà trên khắp thế giới hơn bất cứ thứ gì cộng lại, tuy nhiên hầu hết mọi người đều có thể phòng ngừa căn bệnh này."
"It's not only preventable; it's actually reversible. And for the last almost 29 years, we've been able to show that by simply changing diet and lifestyle, using these very high-tech, expensive, state-of-the-art measures to prove how powerful these very simple and low-tech and low-cost interventions can be like -- quantitative arteriography, before and after a year, and cardiac PET scans.","Không chỉ có thể phòng ngừa, nó còn có thể chữa khỏi. Trong 29 năm qua, chúng ta đã sử dụng các phương tiện công nghệ cao tối tân, hiện đai để chứng minh các biện pháp đơn giản, công nghệ thấp và giá rẻ như thay đổi khẩu phần ăn và lối sống hiệu quả đến mức nào. Thủ thuật khâu động mạch định lượng trước và sau một năm, và quét chụp cắt lớp tim."
"We showed a few months ago -- we published the first study showing you can actually stop or reverse the progression of prostate cancer by making changes in diet and lifestyle, and 70 percent regression in the tumor growth, or inhibition of the tumor growth, compared to only nine percent in the control group.","Cách đây vài tháng, chúng tôi đã công bố -- chúng tôi đã xuất bản nghiên cứu đầu tiên cho thấy chúng ta có thể ngăn chặn hoặc đảo ngược tiến trình bệnh ung thư tuyến tiền liệt bằng cách thay đổi khẩu phần ăn và lối sống, thì sẽ đẩy lui 70% sự phát triển của khối u, hoặc kìm hãm khối u so với chỉ có 9% trong nhóm kiểm soát."
"And in the MRI and MR spectroscopy here, the prostate tumor activity is shown in red -- you can see it diminishing after a year.","Và trong phương pháp quang phổ chụp cộng hưởng từ (MRI) và chụp theo mô đun (MI) ở đây, hoạt động của khối u tuyến tiền liệt biểu diễn bằng màu đỏ -- bạn có thể thấy nó teo lại sau một năm."
"Now there is an epidemic of obesity: two-thirds of adults and 15 percent of kids. What's really concerning to me is that diabetes has increased 70 percent in the past 10 years, and this may be the first generation in which our kids live a shorter life span than we do. That's pitiful, and it's preventable.","Giờ bệnh béo phì đang rất phổ biến. 2/3 người trưởng thành và 15% trẻ em bị béo phì. Điều tôi lo ngại nhất là bệnh tiểu đường đã tăng 70% trong 10 năm qua, và đây có lẽ là thế hệ đầu tiên, con em chúng ta sẽ giảm thọ hơn chúng ta. Thật khủng khiếp nhưng nguy cơ đó có thể ngăn chặn được."
"Now these are not election returns, these are the people -- the number of the people who are obese by state, beginning in '85, '86, '87 -- these are from the CDC website -- '88, '89, '90, '91 -- you get a new category -- '92, '93, '94, '95, '96, '97, '98, '99, 2000, 2001 -- it gets worse. We're kind of devolving. (Laughter) Now what can we do about this? Well, you know, the diet that we've found that can reverse heart disease and cancer is an Asian diet.","Nào, đây không phải các bản thống kế bầu cử mà là số người mắc bệnh béo phì theo giai đoạn, bắt đầu ở '85, '86, '87 -- đây là số liệu lấy từ trang web của Trung tâm Kiểm Soát và Phòng Ngừa Bệnh Tật -- '88, '89, '90, '91 -- ta có loại mới -- '92, '93, ..., '96, ..., 2001 -- tình hình tồi tệ thêm. Chúng ta đang thụt lùi. Vậy chúng ta phải làm gì? Chúng ta đã phát hiện ra khẩu phần ăn có thể đảo ngược tiến trình bệnh tim và ung thư chính là khẩu phần ăn của người châu Á."
"But the people in Asia are starting to eat like we are, which is why they're starting to get sick like we are.","Nhưng người châu Á đang bắt đầu ăn uống giống chúng ta, đó là lý do tại sao họ mắc các bệnh như chúng ta."
"So I've been working with a lot of the big food companies. They can make it fun and sexy and hip and crunchy and convenient to eat healthier foods, like -- I chair the advisory boards to McDonald's, and PepsiCo, and ConAgra, and Safeway, and soon Del Monte, and they're finding that it's good business.","Thế nên tôi đang làm việc với nhiều công ty thực phẩm lớn. Họ có thể biến các thực phẩm có lợi cho sức khỏe trở nên hợp khẩu vị, tiện lợi và trông hấp dẫn hơn với thực khách -- hiện tôi đang tham gia vào ban cố vấn cho McDonald PepsiCo, ConAgra và Safeway và tới đây sẽ là Del Monte, các công ty này thấy rằng đó là việc làm ăn lợi cả đôi đường."
